Day,Mean,Median,Std,Variance,Minimum,Maximum
223,11.583202,0.872736,30.935434,957.0011,0.0,330.89053
224,12.977325,1.3613678,34.890812,1217.3688,0.0,435.1148
225,9.410014,0.13788298,29.876278,892.592,0.0,407.45322
226,8.148518,0.9666675,20.258677,410.41397,0.0,316.35144
227,4.787495,0.1293621,11.046399,122.02293,0.0,132.9561
228,3.8705926,0.0,9.502082,90.28956,0.0,107.33345
229,4.1031523,0.0,9.857145,97.163315,0.0,118.99538
230,5.220971,0.2709102,9.945649,98.91593,0.0,124.654045
231,7.46742,1.2195966,13.633959,185.88483,0.0,133.42679
232,9.769835,2.7917724,17.910192,320.77502,0.0,186.41602
233,7.7307267,0.8390168,16.880365,284.94672,0.0,168.38611
234,5.244212,0.28471506,11.21505,125.777336,0.0,162.598
235,3.9231536,0.28618586,9.354601,87.50855,0.0,141.04645
236,6.2932644,0.9757682,11.25135,126.59288,0.0,81.39382
237,8.259395,2.5325546,13.797223,190.36337,0.0,155.98396
238,7.591072,1.7381198,14.151503,200.26501,0.0,195.7958
239,8.19222,1.6967165,15.975712,255.22336,0.0,183.5508
240,10.116057,3.057583,15.817912,250.20633,0.0,211.98863
241,12.114268,4.2802725,20.58398,423.70026,0.0,239.6291
242,8.894603,2.7039905,17.172785,294.90454,0.0,264.45096
243,5.7195864,1.3421195,11.513062,132.55058,0.0,154.14491
244,7.569554,1.345184,13.362478,178.55583,0.0,160.96236
245,8.470532,1.054488,16.628572,276.50943,0.0,141.07062
246,5.3402143,0.43204337,11.232637,126.17214,0.0,124.88929
247,3.7551084,0.0,9.143367,83.60115,0.0,139.4603
248,3.4448624,0.0,10.619667,112.77732,0.0,151.39548
249,3.7607386,0.0,10.230127,104.65551,0.0,145.34369
250,3.1540608,0.0,7.890577,62.2612,0.0,85.31929
251,4.7968073,0.0,11.381018,129.52757,0.0,113.16326
252,4.8926845,0.0,12.845555,165.00829,0.0,180.30496
253,6.1963935,0.0,16.503483,272.36496,0.0,185.21303
254,3.3248224,0.0,7.9637327,63.42104,0.0,97.69291
255,4.0690894,0.1661569,8.374836,70.13787,0.0,83.23522
256,5.690432,0.24244204,10.869185,118.13919,0.0,81.158424
257,5.392877,0.34747893,11.1729,124.8337,0.0,148.35211
258,4.66523,0.17226136,10.188868,103.81303,0.0,152.55157
259,3.5047934,0.0,8.274093,68.46061,0.0,92.85026
260,5.2155676,0.0,12.537876,157.19833,0.0,221.99744
261,7.804119,1.1057378,14.703656,216.1975,0.0,144.86293
262,5.8020444,0.0,14.814768,219.47734,0.0,331.1413
263,7.1886764,0.0,19.13442,366.12607,0.0,252.68425
264,8.233039,0.29494363,14.917772,222.53992,0.0,167.77339
265,7.8181696,0.3122393,18.388746,338.14597,0.0,254.1834
266,5.8555217,0.0,14.669219,215.18599,0.0,191.72603
267,3.5301964,0.0,10.981613,120.595825,0.0,129.76892
268,3.132182,0.0,9.199827,84.636826,0.0,103.18827
269,2.2107973,0.0,6.375208,40.643276,0.0,65.74972
270,2.3588254,0.0,6.96416,48.499527,0.0,114.55231
271,3.4685285,0.0,8.415064,70.81329,0.0,121.21018
272,6.0773296,0.0,12.354716,152.63902,0.0,117.61114
273,5.453303,0.0,16.925364,286.46796,0.0,293.90747
274,4.1232734,0.0,12.684781,160.90367,0.0,336.61978
275,5.2365656,0.0,11.43074,130.66182,0.0,119.95342
276,3.9818828,0.0,13.474699,181.56752,0.0,159.72299
277,2.0247421,0.0,7.5637593,57.210453,0.0,105.87371
278,2.3340042,0.0,7.1291757,50.825146,0.0,89.28628
279,2.8730896,0.0,8.613193,74.18708,0.0,89.24902
280,3.9714801,0.0,8.682984,75.39421,0.0,90.50758
281,3.4053607,0.0,7.6583858,58.650875,0.0,87.37762
282,4.1431108,0.0,9.998795,99.9759,0.0,129.48947
283,5.556362,0.0,13.137799,172.60176,0.0,179.14307
284,4.7432666,0.0,13.723065,188.32253,0.0,177.35732
285,3.2414954,0.0,8.646906,74.768974,0.0,109.01591
286,3.1867874,0.0,8.979408,80.62977,0.0,122.79296
287,4.458328,0.0,11.774762,138.64502,0.0,150.10616
288,3.798112,0.0,11.897361,141.5472,0.0,142.54265
289,2.300917,0.0,7.7351394,59.832382,0.0,123.0
290,0.45691824,0.0,2.5913713,6.7152057,0.0,52.27773
291,0.33639544,0.0,3.2044284,10.268361,0.0,81.825554
292,0.8527369,0.0,4.108386,16.878838,0.0,62.3062
293,3.851173,0.0,15.09889,227.97649,0.0,179.59468
294,5.5512705,0.0,17.12699,293.33374,0.0,277.73514
295,4.616594,0.0,17.205254,296.02072,0.0,285.51755
